Image,Object type,Museum number,Title,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Production place,Find spot,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Reg number,Add ids,Cat no,Banknote serial number,Joined objects
"",coin (object name),"No: Optional[1989,0904.1977]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1977",,,
"",coin (object name),"No: Optional[1989,0904.1982]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1982",,,
"",coin (object name),"No: Optional[1996,1030.1774]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1996,1030.1774",,,
"",coin (object name),"No: Optional[1996,1030.1776]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1996,1030.1776",,,
"",coin (object name),"No: Optional[1989,0904.1995]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1995",,,
"",coin (object name),"No: Optional[1989,0904.1674]",,,,"Silver coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1799-1816,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1674",,,
"",coin (object name),"No: Optional[1989,0904.1673]",,,,"Silver coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1799-1816,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1673",,,
"",coin (object name),No: Optional[OR.1145],,,,"Silver coin.; ",,,,Cirvana Yodoha Vikrama Saha,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"2.760 grammes; ",,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,OR.1145,,,
"",coin (object name),No: Optional[OR.1132],,,,"Silver coin.; ",,,,Pratapa Simha Saha,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"5.400 grammes; ",,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,OR.1132,,,
"",coin (object name),"No: Optional[1892,0508.57]",,,,"Alloy coin.; ",,,,Girvana Yuddha Vikrama,,,Shah Dynasty,,Minted in: Nepal,,alloy,,,,"8.870 grammes; ",,,,Not on display,,,,,,,,,,,,1892,,,Money and Medals,,"1892,0508.57",,,
"",coin (object name),"No: Optional[1989,0904.1973]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1973",,,
"",coin (object name),"No: Optional[1989,0904.1706]",,,,"Silver coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1799-1816,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1706",,,
"",coin (object name),"No: Optional[1850,1205.28]",,,,"Gold coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1850,1205.28",,,
"",coin (object name),"No: Optional[1837,1030.156]",,,,"Silver coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1799-1816,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1837,1030.156",,,
"",coin (object name),"No: Optional[1989,0904.1957]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1957",,,
"",coin (object name),"No: Optional[2002,0776.2]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"2002,0776.2",,,
"",coin (object name),"No: Optional[1989,0904.1951]",,,,"Gold coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1951",,,
"",coin (object name),"No: Optional[1847,1201.1919]",,,,"Gold coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1847,1201.1919",,,
"",coin (object name),"No: Optional[1989,0904.1750]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1750",,,
"",coin (object name),"No: Optional[1996,1030.108]",,,,"Gold coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1996,1030.108",,,
"",coin (object name),"No: Optional[1989,0904.2076]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.2076",,,
"",coin (object name),"No: Optional[1960,0105.2]",,,,"Gold coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1960,0105.2",,,
"",coin (object name),"No: Optional[1989,0904.1988]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1988",,,
"",coin (object name),No: Optional[OR.11819],,,,"Silver coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1799-1816,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,OR.11819,,,
"",coin (object name),"No: Optional[1974,1107.13]",,,,"Alloy coin.; ",,,,Tribhunana Vira Vikrama,,,Shah Dynasty,1992,Minted in: Nepal,,alloy,,,,"5.550 grammes; ",,,,Not on display,,,,,,,,,,,,1974,,,Money and Medals,,"1974,1107.13",,,
"",coin (object name),"No: Optional[1970,0220.12]",,,,"Alloy coin.; ",,,,Tribhunana Vira Vikrama,,,Shah Dynasty,1994,Minted in: Nepal,,alloy,,,,"5.860 grammes; ",,,,Not on display,,,,,,,,,,,,1970,,,Money and Medals,,"1970,0220.12",,,
"",coin (object name),"No: Optional[1934,1005.18]",,,,"Silver coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1799-1816,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1934,1005.18",,,
"",coin (object name),"No: Optional[1989,0904.1790]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1790",,,
"",coin (object name),"No: Optional[1989,0904.1942]",,,,"Gold coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1942",,,
"",coin (object name),"No: Optional[1989,0904.2075]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.2075",,,
"",coin (object name),"No: Optional[1850,1205.17]",,,,"Gold coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1850,1205.17",,,
"",coin (object name),"No: Optional[1996,1030.103]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1996,1030.103",,,
"",coin (object name),"No: Optional[1989,0904.1711]",,,,"Gold coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1779-1816,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1711",,,
"",coin (object name),"No: Optional[1850,1205.16]",,,,"Gold coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1850,1205.16",,,
"",coin (object name),"No: Optional[1989,0904.1648]",,,,"Gold coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1779-1816,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1648",,,
"",coin (object name),No: Optional[OR.1126],,,,"Silver coin.; ",,,,Prithvi Narayan Shah,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"0.040 grammes; ",,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,OR.1126,,,
"",coin (object name),No: Optional[OR.1147],,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"4.640 grammes; ",,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,OR.1147,,,
"",coin (object name),"No: Optional[1989,0904.1756]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1756",,,
"",coin (object name),"No: Optional[1989,0904.1952]",,,,"Gold coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1952",,,
"",coin (object name),"No: Optional[1989,0904.1797]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1797",,,
"",coin (object name),"No: Optional[1996,1030.1766]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1996,1030.1766",,,
"",coin (object name),"No: Optional[1920,1002.2]",,,,"Silver coin.; ",,,,Surenora Vikramasaha,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"5.430 grammes; ",,,,Not on display,,,,,,,,,,,,1920,,,Money and Medals,,"1920,1002.2",,,
"",coin (object name),"No: Optional[1989,0904.1707]",,,,"Silver coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1799-1816,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1707",,,
"",coin (object name),"No: Optional[1996,1030.98]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1996,1030.98",,,
"",coin (object name),"No: Optional[1989,0904.1954]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1954",,,
"",coin (object name),"No: Optional[1989,0904.1656]",,,,"Gold coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1779-1816,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1656",,,
"",coin (object name),"No: Optional[1989,0904.1791]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1791",,,
"",coin (object name),No: Optional[OR.1148],,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"5.480 grammes; ",,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,OR.1148,,,
"",coin (object name),"No: Optional[1989,0904.1785]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1785",,,
"",coin (object name),"No: Optional[1996,1030.1779]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1996,1030.1779",,,
"",coin (object name),"No: Optional[1989,0904.1813]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1813",,,
"",coin (object name),"No: Optional[1996,1030.1765]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1996,1030.1765",,,
"",coin (object name),No: Optional[MAR],,,,"Silver coin.; ",,,,Prithvi Narayan Shah,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"5.490 grammes; ",,,,Not on display,,,,,,,,Donated by: William Marsden,,,Donated by: William Marsden,1834,,,Money and Medals,,MAR,,,
"",coin (object name),No: Optional[MAR],,,,"Silver coin.; ",,,,Rana Bahadur Shah,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"1.370 grammes; ",,,,Not on display,,,,,,,,Donated by: William Marsden,,,Donated by: William Marsden,1834,,,Money and Medals,,MAR,,,
"",coin (object name),No: Optional[MAR],,,,"Silver coin.; ",,,,Rajendra Lakshmi Devi,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"1.350 grammes; ",,,,Not on display,,,,,,,,Donated by: William Marsden,,,Donated by: William Marsden,1834,,,Money and Medals,,MAR,,,
"",coin (object name),No: Optional[MAR],,,,"Silver coin.; ",,,,Rajendra Lakshmi Devi,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"1.340 grammes; ",,,,Not on display,,,,,,,,Donated by: William Marsden,,,Donated by: William Marsden,1834,,,Money and Medals,,MAR,,,
"",coin (object name),"No: Optional[1966,0114.4]",,,,"Alloy coin.; ",,,,Tribhunana Vira Vikrama,,,Shah Dynasty,1976,Minted in: Nepal,,alloy,,,,"4.780 grammes; ",,,,Not on display,,,,,,,,,,,,1966,,,Money and Medals,,"1966,0114.4",,,
"",coin (object name),"No: Optional[1989,0904.1969]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1969",,,
"",coin (object name),"No: Optional[1989,0904.2003]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.2003",,,
"",coin (object name),"No: Optional[1850,1205.15]",,,,"Gold coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1850,1205.15",,,
"",coin (object name),"No: Optional[1892,1008.120]",,,,"Alloy coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,,Minted in: Nepal,,alloy,,,,"4.730 grammes; ",,,,Not on display,,,,,,,,,,,,1892,,,Money and Medals,,"1892,1008.120",,,
"",coin (object name),"No: Optional[1989,0904.1992]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1992",,,
"",coin (object name),"No: Optional[1989,0904.1657]",,,,"Gold coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1779-1816,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1657",,,
"",coin (object name),No: Optional[OR.1124],,,,"Silver coin.; ",,,,Prithvi Narayan Shah,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"0.040 grammes; ",,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,OR.1124,,,
"",coin (object name),No: Optional[OR.1123],,,,"Silver coin.; ",,,,Prithvi Narayan Shah,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"0.040 grammes; ",,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,OR.1123,,,
"",coin (object name),"No: Optional[1989,0904.1695]",,,,"Silver coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1799-1816,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1695",,,
"",coin (object name),"No: Optional[1989,0904.1979]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1979",,,
"",coin (object name),"No: Optional[1920,0722.110]",,,,"Silver coin.; ",,,,Surenora Vikramasaha,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"5.330 grammes; ",,,,Not on display,,,,,,,,,,,,1920,,,Money and Medals,,"1920,0722.110",,,
"",coin (object name),"No: Optional[1989,0904.1748]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1748",,,
"",coin (object name),"No: Optional[1989,0904.1664]",,,,"Silver coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1799-1816,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1664",,,
"",coin (object name),"No: Optional[1989,0904.1816]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1816",,,
"",coin (object name),"No: Optional[1974,1107.8]",,,,"Alloy coin.; ",,,,Tribhunana Vira Vikrama,,,Shah Dynasty,1969,Minted in: Nepal,,alloy,,,,"5.040 grammes; ",,,,Not on display,,,,,,,,,,,,1974,,,Money and Medals,,"1974,1107.8",,,
"",coin (object name),"No: Optional[1966,0114.3]",,,,"Cupronickel coin.; ",,,,Tribhunana Vira Vikrama,,,Shah Dynasty,2006,Minted in: Nepal,,cupronickel,,,,"5.610 grammes; ",,,,Not on display,,,,,,,,,,,,1966,,,Money and Medals,,"1966,0114.3",,,
"",coin (object name),"No: Optional[1989,0904.1762]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1762",,,
"",coin (object name),"No: Optional[1974,1107.9]",,,,"Alloy coin.; ",,,,Tribhunana Vira Vikrama,,,Shah Dynasty,1970,Minted in: Nepal,,alloy,,,,"5.300 grammes; ",,,,Not on display,,,,,,,,,,,,1974,,,Money and Medals,,"1974,1107.9",,,
"",coin (object name),"No: Optional[1850,1205.23]",,,,"Gold coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1850,1205.23",,,
"",coin (object name),"No: Optional[1989,0904.1742]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1742",,,
"",coin (object name),No: Optional[OR.1150],,,,"Alloy coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,,Minted in: Nepal,,alloy,,,,"5.740 grammes; ",,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,OR.1150,,,
"",coin (object name),"No: Optional[O1969,0201.2]",,,,"Silver coin.; ",,,,Ranabahadur Saha,,,Shah Dynasty,1799 (SE 1720),Minted in: Nepal,,silver,,,,"5.440 grammes; ",,,,Not on display,,,,,,,,,,,,1969,,,Money and Medals,,"O1969,0201.2",,,
"",coin (object name),No: Optional[OR.1129],,,,"Silver coin.; ",,,,Prithvi Narayan Shah,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"5.410 grammes; ",,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,OR.1129,,,
"",coin (object name),"No: Optional[1989,0904.1991]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1991",,,
"",coin (object name),"No: Optional[1989,0904.1997]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1997",,,
"",coin (object name),"No: Optional[1920,0713.2]",,,,"Gold coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1779-1816,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1920,0713.2",,,
"",coin (object name),"No: Optional[1892,0508.60]",,,,"Silver coin.; ",,,,Surenora Vikramasaha,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"5.500 grammes; ",,,,Not on display,,,,,,,,,,,,1892,,,Money and Medals,,"1892,0508.60",,,
"",coin (object name),"No: Optional[1989,0904.1978]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1978",,,
"",coin (object name),"No: Optional[1847,1201.1888]",,,,"Gold coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1779-1816,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1847,1201.1888",,,
"",coin (object name),"No: Optional[O1969,0201.4]",,,,"Silver coin.; ",,,,Queen Subharna Prabha,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"1.320 grammes; ",,,,Not on display,,,,,,,,,,,,1969,,,Money and Medals,,"O1969,0201.4",,,
"",coin (object name),"No: Optional[1989,0904.1980]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1980",,,
"",coin (object name),"No: Optional[1989,0904.1820]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1820",,,
"",coin (object name),"No: Optional[1989,0904.1726]",,,,"Gold coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1726",,,
"",coin (object name),"No: Optional[1989,0904.1728]",,,,"Gold coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1728",,,
"",coin (object name),"No: Optional[1847,1201.1887]",,,,"Gold coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1779-1816,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1847,1201.1887",,,
"",coin (object name),"No: Optional[1989,0904.1781]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1781",,,
"",coin (object name),"No: Optional[1996,1030.96]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1996,1030.96",,,
"",coin (object name),No: Optional[IOC.776],,,,"Gold coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,IOC.776,,,
"",coin (object name),No: Optional[IOC.780],,,,"Gold coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,IOC.780,,,
"",coin (object name),"No: Optional[1989,0904.2000]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.2000",,,
"",coin (object name),"No: Optional[1989,0904.1972]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1972",,,
"",coin (object name),"No: Optional[1989,0904.1996]",,,,"Silver coin.; ",,,,Surendra Vikram Shah,,,Shah Dynasty,1847-1881,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1996",,,
"",coin (object name),"No: Optional[1849,1201.1918]",,,,"Gold coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1849,1201.1918",,,
"",coin (object name),"No: Optional[1920,0713.1]",,,,"Gold coin.; ",,,,Girvan Yuddha Vikram Shah,,,Shah Dynasty,1779-1816,Issued in: Nepal,,gold,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1920,0713.1",,,
"",coin (object name),"No: Optional[1989,0904.1772]",,,,"Silver coin.; ",,,,Rajendra Vikram Shah,,,Shah Dynasty,1816-1847,Issued in: Nepal,,silver,,,,,,,,Not on display,,,,,,,,,,,,,,,Money and Medals,,"1989,0904.1772",,,
"",coin (object name),"No: Optional[1934,1005.3]",,,,"Silver coin.; ",,,,Pratapa Simha Saha,,,Shah Dynasty,,Minted in: Nepal,,silver,,,,"5.500 grammes; ",,,,Not on display,,,,,,,,,,,,1934,,,Money and Medals,,"1934,1005.3",,,
