Image,Object type,Museum number,Title,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Production place,Find spot,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Reg number,Add ids,Cat no,Banknote serial number,Joined objects
"",artefact (object name),"No: Optional[1913,0721.3]",,,,"Greenish stone, sub-conical with white hatch design.; ",,,,,,,,,,Found/Acquired: Tibet (?);  Found/Acquired: Nepal (?),stone,,,,"1.90 inches; ",,,,Not on display,,,,,,,,Donated by: Joseph Albaille,,,Donated by: Joseph Albaille,1913,,,Asia,,"1913,0721.3",,,
"",artefact (object name); stopper (object name),No: Optional[1880.4088.a-d],,,,"Brass cylinders with filigree and purple glass stoppers; one badly crushed.; ",,,,,,,,,,Found/Acquired: Tibet;  Found/Acquired: Nepal,brass; glass,,,filigree,"2.75 centimetres a ;  2.60 centimetres b ;  2.75 centimetres c ;  3.00 centimetres a ;  2.90 centimetres b ;  3.00 centimetres c ; ",,,,Not on display,,,,,,,,,,,,,,,Asia,,1880.4088.a-d,,,
"",ramdao (object name); axe (object name),No: Optional[OA+.7395],,,,"Dao (ram), axe. Inscription. Made of metal, wood.; ",,,,,,,,19thC,,Found/Acquired: Nepal,metal; wood,,,,"1.03 metres; ","Inscription type: inscription; ",,,Not on display,,,,,,,,,,,,,,,Asia,,OA+.7395,,,
https://media.britishmuseum.org/media/Repository/Documents/2021_10/4_8/0e8b47ee_3931_4235_81a5_adb70093df99/preview_RRI9047.jpg,sword (object name); axe (object name),"No: Optional[1947,1112.11]",,,,"Sword/axe (a ramdao). Scroll pattern and human eye on blade. Made of incised metal.; ",,,,,,,,1801-1950,Lustred in: Nepal,Found/Acquired: Nepal,iron; metal,,,forged; incised,"68.50 centimetres Blade Length ;  93.00 centimetres;  26.50 centimetres; ",,,,Not on display,"Exhibited:
2022 19 May – 25 Sept, London, British Museum, G35, Feminine Power
2022 - 2023 8 Dec – 27 Aug, Canberra, National Museum of  Australia, Feminine Power
2023-2024 27 Sep - 14 Jan, Madrid, Caixaforum, Feminine Power
2024 20 Feb - 09 June, Barcelona, Caixaforum, Feminine Power
2024 17 Jul – 27 Oct, Seville, Caixaforum, Feminine Power
2024 -2025 04 Dec – 23 Mar, Zaragoza, Caixaforum, Feminine Power
2025 07 May – 07 Sep, Valencia, Caixaforum, Feminine Power",,arms/armour,,,,,Donated by: Mrs A Crooke,,"Field Collection by: William Crooke, CIE",Donated by: Mrs A Crooke,1947,From the collection of Mrs Crooke's late husband William Crooke CIE.,,Asia,,"1947,1112.11",,,
"",badge (object name),"No: Optional[2025,4034.2]",,,,"White South Asian Heritage Month Emblem Badge, listing all South Asian countries listed on the emblem (Afghanistan, Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan, Sri-Lanka, South Asian Heritage Month).; ",,,,,,,,2024,,,plastic; metal,,,,"35.00 millimetres; ","Inscription type: inscription Inscription language: English Inscription quoted: SOUTH ASIAN HERITAGE MONTH•18 JULY TO 17 AUG
AFGHANISTAN•BANGALADESH•BHUTAN•INDIA•MALDIVES•NEPAL•PAKISTAN•SRI LANKA; ","South Asian Heritage Month is the name given to the month-long celebration in the South Asian diaspora to celebrate the heritage of people with roots in the South Asian countries of India, Pakistan, Bangladesh, Sri Lanka, Afghanistan, Nepal, Bhutan, and the Maldives. The South Asian community in the UK organised the concept launch of the first South Asian Heritage Month event in July 2019 at the House of Commons. The first South Asian Heritage Month took place in 2020.
South Asian Heritage Month runs from 18 July to 17 August and seeks to commemorate, mark and celebrate South Asian cultures, histories, particularly the intertwined histories of the UK and South Asian communities and how South Asian cultures are present throughout the UK.",,Not on display,,,,,,,,Donated by: Sushma Jansari,,,Donated by: Sushma Jansari,10 Jul 2025,,,Money and Medals,,"2025,4034.2",,,
"",badge (object name),"No: Optional[2025,4034.1]",,,,"Round purple and gold badge, listing all South Asian countries listed on the emblem (Afghanistan, Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan, Sri-Lanka, South Asian Heritage Month).; ",,,,,,,,2024,,,acrylic; brass,,,,"35.00 millimetres; ","Inscription type: inscription Inscription language: English Inscription quoted: SOUTH ASIAN HERITAGE MONTH•18 JULY TO 17 AUG
AFGHANISTAN•BANGALADESH•BHUTAN•INDIA•MALDIVES•NEPAL•PAKISTAN•SRI LANKA; ","South Asian Heritage Month is the name given to the month-long celebration in the South Asian diaspora to celebrate the heritage of people with roots in the South Asian countries of India, Pakistan, Bangladesh, Sri Lanka, Afghanistan, Nepal, Bhutan, and the Maldives. The South Asian community in the UK organised the concept launch of the first South Asian Heritage Month event in July 2019 at the House of Commons. The first South Asian Heritage Month took place in 2020.
South Asian Heritage Month runs from 18 July to 17 August and seeks to commemorate, mark and celebrate South Asian cultures, histories, particularly the intertwined histories of the UK and South Asian communities and how South Asian cultures are present throughout the UK.",,Not on display,,,,,Named in inscription: South Asia,,,Donated by: Sushma Jansari,,,Donated by: Sushma Jansari,10 Jul 2025,,,Money and Medals,,"2025,4034.1",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_11/10_15/45935c8a_b1cb_4530_9f11_a3df00ff6dc5/preview_01517988_001.jpg,badge (object name),"No: Optional[2006,0630.5]",,,,"Circular printed badge, made of metal, paper and plastic.; Light green background; dark green inscription; dark green illustration of the female symbol and two arms (hands and forearms), with the hands clenched and chains around the wrists.",,,,,,,,1980s-2006,Made in: New Zealand,,metal; paper,,type series: Att 1,printed,"44.00 millimetres; ","Inscription type: inscription Inscription position: obverse Inscription language: English Inscription quoted: DARE TO BE FREE; ",,,Not on display,,,politics; women/feminism,,,,,Donated by: Betty Cuthbert,,,Donated by: Betty Cuthbert,2006,,,Money and Medals,,"2006,0630.5",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_11/10_15/c5ce7ff0_85c2_43ac_819e_a3df00ffd1fd/preview_01517993_001.jpg,badge (object name),"No: Optional[2006,0630.3]",,,,"Circular printed badge, made of metal, paper and plastic.; Yellow background; black inscription; black and yellow illustration of a ticked box.",,,,,,,,early 1990s,Made in: New Zealand,,metal; paper,,type series: Att 1,printed,"44.00 millimetres; ","Inscription type: inscription Inscription position: obverse Inscription language: English Inscription quoted: I'm Voting MMP; ","New Zealand adopted the MMP (Mixed-member proportional representation) voting system in 1993, after two referendums in 1992 and 1993.",,Not on display,,,politics,,,,,Donated by: Betty Cuthbert,,,Donated by: Betty Cuthbert,2006,,,Money and Medals,,"2006,0630.3",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_11/10_12/8fdb03a0_fa23_481c_8bf7_a3df00ca5753/preview_01506502_001.jpg,badge (object name),"No: Optional[2006,0629.5]",,,,"Circular, printed badge; made of metal, paper and plastic.; The background is half white (top) and half black (bottom) with a white and black illustration of a heart at the center.  There is a red inscription above the illustration and a white inscription below the illustration.",,,,,,,,early 1980s,Attributed at: New Zealand,,metal; paper; plastic,,type series: Att 1,printed,"43.00 millimetres; ","Inscription type: inscription Inscription position: obverse Inscription language: English Inscription quoted: END 
APARTHEID 
TERROR
TOTAL SANCTIONS NOW; Inscription type: inscription Inscription position: reverse Inscription language: English Inscription quoted: EYP LTD
BOX 48004 AK; ",This badge was produced as part of an anti-apartheid protest of the South African Springbok rugby tour of New Zealand in 1981.,,Not on display,,,politics; symbol; discrimination/racism; sport/pastime,Associated with: IRB Organisation,Associated with: New Zealand;  Associated with: South Africa,,,"Donated by: Cuthbert, Dick",,,"Donated by: Cuthbert, Dick",2006,,,Money and Medals,,"2006,0629.5",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/2_19/9fc39837_7649_43df_8607_a3b801398ec9/preview_00324633_001.jpg,bag (object name),"No: Optional[As1995,19.1]",,,,"A sheep's carrying bag, woven; made of yak hair.  Used to transport salt.; ",,,,,,,,20thC,Made in: Nepal,Found/Acquired: Nepal (Jumla),yak hair,,,woven,"46.00 centimetres;  32.00 centimetres; ",,"Text from Eth Doc 1882: [Susi Dunsmore] Caravans of sheep ...
     Ang Diku Sherpa bought this bag in West Nepal in 1993: the maker and the age of the bag are unknown.  Caravans of sheep and goats using this type of bag can still be seen in some northern parts of Nepal.  This bag is woven from Yak hair, single yarn for warp and weft in a warpfaced plain weave.
     12cm wide leather strips strengthen the bottom of the bag.
     Cotton cloth is stitched underneath the bag to act as padding.  The ropes are made of two 4 ply strands stitched together.
     When the bag pockets are filled, they are closed by stitching with a strand of 2-ply yarn.
     [Ang Diku Sherpa]  Some strong sheep carry double.  Sheep bag makers mostly those who have yak.  The blacksmith from Jumla [from whom Ang Diku bought the bag said bags such as this were] made by Tibetan women from Humla, Dolpo, Jumla and Manang.  [This bag was] made by Humla women [he believed].  East Nepal [stopped] making that type of bag since long time.  I remember used to be.  Now no more.  Some men and women from Changchung Gola they make just rope and floor carpet and bag for yak to carry, not sheep bag.",,Not on display,,,,,,,,Donated by: Mrs Susi Dunsmore,,,Donated by: Mrs Susi Dunsmore,1995,"Text from Eth Doc 1882: Ang Diku Sherpa bought this bag in from the blacksmith in Jumla, west Nepal in 1993.  The maker and the age of the bag are unknown.",,Asia,,"As1995,19.1",,,
